candidate,symbol,split,scenario,name,sweep_window,volume_multiplier,trend_filter,cisd_atr_multiplier,target_r,max_bars_in_trade,stop_atr_multiplier,initial_capital,final_equity,net_return,buy_hold_return,excess_vs_buy_hold,cagr,max_drawdown,sharpe_hourly_annualized,trades,win_rate,profit_factor,expectancy_usdt,average_holding_bars,start,end
ema_s24,SOLUSDT,validation,stress,ema_s24,24,0.0,ema,1.0,2.0,48,0.25,10000.0,10201.031616928713,0.020103161692871296,-0.15460310165908087,0.17470626335195216,0.02689155355766104,-0.025080764558673807,0.532414261725335,13,0.46153846153846156,1.2923029802202681,15.463970532977887,19.46153846153846,2024-07-01T00:00:00+00:00,2025-03-31T23:00:00+00:00
ema_s24,SOLUSDT,oos,base,ema_s24,24,0.0,ema,1.0,2.0,48,0.25,10000.0,9012.826947156604,-0.09871730528433964,-0.4164759555846099,0.3177586503002703,-0.07499756169548433,-0.10627769352034122,-1.911416097688249,16,0.125,0.18098409886617134,-61.69831580271227,16.5625,2025-04-01T00:00:00+00:00,2026-07-31T23:00:00+00:00
ema_s24,SOLUSDT,oos,stress,ema_s24,24,0.0,ema,1.0,2.0,48,0.25,10000.0,8908.971776289962,-0.10910282237100377,-0.41764184170469787,0.3085390193336941,-0.08300394445467274,-0.11563229020209242,-2.167306724837251,16,0.125,0.1584707371649667,-68.18926398187739,16.5625,2025-04-01T00:00:00+00:00,2026-07-31T23:00:00+00:00
ema_v12,BTCUSDT,development,base,ema_v12,12,1.2,ema,1.0,2.0,48,0.25,10000.0,8805.755723743388,-0.11942442762566119,0.3544061471471174,-0.47383057477277857,-0.0496613559966278,-0.15423601403612341,-0.935385153674064,58,0.3103448275862069,0.6438034888829792,-20.590418556148474,21.46551724137931,2022-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00
ema_v12,BTCUSDT,development,stress,ema_v12,12,1.2,ema,1.0,2.0,48,0.25,10000.0,8228.629905426644,-0.17713700945733557,0.35170003187554744,-0.528837041332883,-0.07511511213517386,-0.19246562509249343,-1.4132751981593157,58,0.29310344827586204,0.5177093269484617,-30.540863699540626,22.086206896551722,2022-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00
ema_v12,BTCUSDT,validation,base,ema_v12,12,1.2,ema,1.0,2.0,48,0.25,10000.0,10230.91003276169,0.023091003276169086,0.31139966866821855,-0.28830866539204947,0.03090350359385652,-0.05540159324418514,0.5731788917193031,16,0.4375,1.2432776811280157,14.431877047605667,19.0,2024-07-01T00:00:00+00:00,2025-03-31T23:00:00+00:00
ema_v12,BTCUSDT,validation,stress,ema_v12,12,1.2,ema,1.0,2.0,48,0.25,10000.0,10060.118076940114,0.0060118076940114396,0.3087794807150037,-0.3027676730209923,0.008023151793778105,-0.060714734888024036,0.1712724586954588,15,0.4666666666666667,1.0665507066516375,4.007871796007627,24.466666666666665,2024-07-01T00:00:00+00:00,2025-03-31T23:00:00+00:00
ema_v12,BTCUSDT,oos,base,ema_v12,12,1.2,ema,1.0,2.0,48,0.25,10000.0,10056.133808915718,0.0056133808915717065,-0.24031447472024936,0.24592785561182107,0.004207449225942295,-0.04430161288255674,0.11508620236125873,28,0.42857142857142855,1.0450728831264682,2.00477888984707,22.785714285714285,2025-04-01T00:00:00+00:00,2026-07-31T23:00:00+00:00
ema_v12,BTCUSDT,oos,stress,ema_v12,12,1.2,ema,1.0,2.0,48,0.25,10000.0,9430.379940151359,-0.05696200598486412,-0.24183233301252038,0.18487032702765627,-0.04303675395283901,-0.09390905161660035,-0.8749948006457368,28,0.35714285714285715,0.6155608604966575,-20.3435735660229,24.428571428571427,2025-04-01T00:00:00+00:00,2026-07-31T23:00:00+00:00
ema_v12,ETHUSDT,development,base,ema_v12,12,1.2,ema,1.0,2.0,48,0.25,10000.0,8387.603438009013,-0.16123965619909864,-0.06737175393611994,-0.0938679022629787,-0.0679996409808068,-0.16908417412667354,-1.6227711498161892,38,0.23684210526315788,0.294338422476486,-42.43148847344702,30.36842105263158,2022-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00
ema_v12,ETHUSDT,development,stress,ema_v12,12,1.2,ema,1.0,2.0,48,0.25,10000.0,8205.433437062282,-0.17945665629377183,-0.0692351532899157,-0.11022150300385614,-0.07616022842561698,-0.18627810376931464,-1.875003848857025,38,0.21052631578947367,0.25383008818198777,-47.22543586678206,30.36842105263158,2022-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00
